@relation 'C__Users_GHANSHYAM_Desktop_Project_reviews Segregated-weka.filters.unsupervised.attribute.Remove-R2'

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'Cantenn is worst ever, and has been like that ever since the college startd. ',neg
'Spot on ..canteen is worst ever! ',neg
'Students claim that the regular faculty could have been better. Barring the professors for marketing and a few other exceptions, students find the lectures boring. Visiting faculty and guest lecturers provide more interesting sessions, they say. ',neg
'NCRD Sterling Institute of Management Studies does not fail to impress anyone who even so much as spares a glance. Red bricked structure covered with dark brown glass panes is amazing to look at. However, students say that don’t get carried away with all these things as some of the basic requirements inside the building aren’t satisfactory. There’s a shortage of speakers & projectors, Wi-Fi is still not in place and few other such necessities are lacking. Additionally, there is no campus to hang around – it’s just one single building, and that too happens to be shared with the pharmacy college. ',neg
'Attendance is strict and 80\% needs to be maintained unless you want your internal marks deducted. And to add to your woes, the only place where you could hope to find relief – the canteen – is horrible. ',neg
'Not many places to hangout which doesn’t matter as people in this college rarely go out. Nearest place to hangout is at the station. ',neg
'college really really is hell...ghati log like me stay here ',neg
'college Building is no better than a municipality hospital ',neg
'Terna Engineering College is very strict regarding attendance. 75\% is a must otherwise parents are called and given a sound lecture. If less then 40\% students are detained. Seems like some kind of Bio-metric system has been installed for the attendance management of the students and the staff, so beware. ',neg
'Thadomal Shahni Engineering College is surrounded by many other famous colleges of the same HSNC board like MMK and R.D. National College and the very famous IIPM (Yes yes, Arindham Chaudhari). Just like many other colleges in the city of Mumbai, TSEC, too, doesn\'t have any sprawling campus. It has average classrooms and laboratories. Library is quite good and equipped with WiFi. All in all, the infrastructure is pretty much upto the mark. Lack of AC\'s are a huge turn off.There are no hostel facilities. ',neg
'Crowd of here is the \"worst\"... poor knowledge students.. the college works on the name of professor Ravish Singh only... bad placement... bad marks ',neg
'one of the worst training & placement cell across engineering colleges in Mumbai. Don\'t Expect a job from here instead you should Apply off campus, that will help you much more. ',neg
'Extc dept is worst.. faculty is bad.. Agree wit previous comments ',neg
'Thakur doesn’t have great placements, though most of them get placed but with really less salary for an MBA standard. Few of the common recruiters are HPCL, Bank of Baroda and Kotak. The average pay is around 4-5 lakhs per annum. ',neg
'With no 100\% placements, less pay and just about average teaching staff, Thakur, doesn’t join the big leagues of inspiring B-schools. For those who are desperate to do an MBA, Thakur is the right choice as it probably stands among the top 10 institutes in Mumbai. ',neg
'Facility is ok but students say fees is too much as compared to facility. Students are allowed to go out of the college during college hours but teachers can\'t step out as if they are in jail ',neg
'fully bakwaas collegeage... there is nothng inside and outside of the campus which creates interest... I woander what the management is doing since last 3 years! they hvnt even completed the building yet. ',neg
'Muslim minority. The college has students from all over Mumbai. Students, especially boys, are often heard complaining ‘yaaar! Ladkiyaan bahut kam hai’ ',neg
'i am in first year now for mech ...and i am living in vjti hostel... guys its worst hostel i had ever seen...... and im getting very bore here,,,,,, ',neg
'VERY BAD college!!! I HATE IT HERE!! GET ME OUT!!! ',neg
'Not a brand yet, the college still has immense scope of improvement, and learning for the students. ',neg
'attendance is compulsory which sucked but you better attend if you want to maintain good gpa and have any MS plans. I didn\'t attend and eanded up writing tons of impositions. Lost my file and had to write it again (Totally my fault. Not blaming anyone) So yeah life sucked and I was regretting coming here but made some decent friends that I couldn\'t care less about. ',neg
'Canteen is not spacious ',neg
'dont take admission here........... ',neg
'The principal has started the system of sending letters at home and threatens to detain students who bunk regularly. As long as you keep it above 70\% there should be no problems. ',neg
'Don\'t ever try to eat in the canteen, you\'ll most probably meet fried cockroach someday. You better go and eat in the next lane. ',neg
'Lots of stress is given to academics and discipline here; if you feel this is an advantage, go for it, there\'s no stopping you. If you feel this is a disadvantage, don\'t think you\'ll be missing out on something great, just opt out. ',neg
'Festivals and celebrations are rare at YMT College of Management. ',neg
'YMT College of Management has consistently attracted companies for placements and most of the MMS Programme students do get placed every placed every year. However, students complain that do not get an option to choose a particular profile they like and have to settle with whatever they get (We’d say if your profile is good, you can most certainly apply off campus. And if it isn’t be thankful to the college for getting you a job!).Placements are relatively better for marketing students, the same story with every second management college. Average salaries are around 2.5 to 3 lakh per year, the highest being 4 lakh per year.Jobs are difficult to find for the MCA students though. Only a third of the batch gets employed through campus placements and the rest have to hunt for work on their own. Salaries offered are lower too – almost half of what MMS students get. ',neg
'ok ok college...half the marketing staff has already left the college. and yes one definitely has to work hard for placements as good Companies never visit this institute ',neg
'Most of the subjects are taught by the external visiting faculty and the students pretty much like them. A handful of the visiting faculty are also visiting faculty at some of the top B-Schools of the country like FMS and IIM-Kozhikode. The internal faculty are said to mostly teach only the part-time MBA guys. ',pos
'AIMS is a new college and classes have begun regularly in the new building very recently. Infra is thus upto the mark, be it air-conditioned classrooms, well equipped computer labs or the 25000-books-strong library. Since the college is adjacent to one of the Government administrative buildings, due to some reason, the authorities are not allowed to install Wi-Fi on the campus. However, the college has left no room for complaint even in such a scenario; it has made available internet points through LAN at numerous locations which can be used freely by the students. One big advantage here being that the college provides for FREE laptops and thus the students don\'t mind buying their own wireless dongles\' leaving no room for lack of internet connectivity. Hostel facility is also available and those who\'ve opted for the hostel seemed quite happy with it. A lack of a canteen is the only thing that students could think about on the downside. But even that will be taken care of soon, say the authorities. ',pos
'Attendance is relaxed upto certain limits and as long as students are performing well academically. ',pos
'AIMS can be seen as soon as you step out of CST\'s rear exit. It lies close to the Times of India Building on DN Road and right next to the famous JJ School of Architecture. While students on the Central and Harbour lines have no reason to complain about the accessibility of the college, people from the Western Suburbs can reach the college by bus in no time from Churchgate. ',pos
'A 50\% minority reservation for Muslims means you\'re gonna have more than half the class of students who are Muslims. Overall it\'s a good environment and students are enthusiastic enough to try out new things which can teach them new experiences. ',pos
'COGENCY is an inter collegiate cultural festival celebrated in the third week of February every year. It witnesses decent participation. Apart from this, AIMS has a special tie-up with Islam Gymkhana which lets the students allow to play at their ground for one day. Students make full use of this offering by inviting cricket teams of various companies to play matches versus their own college cricket team. ',pos
'Since, its relatively a new college, placements aren\'t anything to boast about too much, but fairly OK one can say. The college manages to place about 85\% of the lot into companies like HDFC, Hindustan Times, Indiabulls and Future Education with salaries ranging between Rs. 2.5L to Rs. 3.5L a year on an average. Highest salary goes to around Rs. 6-7L a year mostly offered by IFFCO a Dubai based company.The college also assists the students in getting great summer internships in companies like Birla Sunlife, JM Finance and Bloomberg ',pos
'ek no. college hai guys',pos
'It is a mixed bag, some professors are very good whereas some are said to be somewhat lacking. ',pos
'there are many hangout near college also ;) ',pos
'MH Saboo Siddik’s college of Engineering has a 50\% quota for the Muslim minority. Overall, the crowd is decent. ',pos
'college crowd is decent 50\% are muslims but thts not a problem as college-student are secular ',pos
'‘Purple’ is the annual cultural festival of MH Saboo Siddik College of Engineering. The college has a very good footfall event but then the crowd here usually comes for events like \'aba dhubi\' (LOL! It\'s true) . \'LAN Gaming is other event which pulls the crowd. Don\'t be surprised if you find school children around you here. ',pos
'I am in F.E Electronics.Its a decent and a nice college.and from this year onwards the annual festival of the college is known as \'\'Ambrosia\'\' and not purple. ',pos
'MH Saboo Siddik’s college of Engineering is one of the few colleges in Mumbai which offers automation engineering which makes it a noticeable college. If you are interested in that this college is a good option. Else the college is fairly OK. ',pos
'Fairly ok....extc dept.is lacking in teaching dept....do not have proper working apparatus to carry out the expts...... ',pos
'The infrastructure of MH Saboo Siddik\'s College of Engineering is fairly decent with decent labs and an extensive library. The college campus is pretty huge as its home for engineering college, diploma course and a school. The campus is pretty lively during the lunch hours. College building is just about average with no air conditioned classrooms. Wifi connectivity is there. ',pos
'about infrastructure it is 6-storey huge building with large classrooms also there is a bank inside the campus only. ',pos
'Attendance is required to approx 60\%. If not there may be problems in store for you! ',pos
'MH Saboo Siddik’s college of Engineering is centrally located at Byculla. It is about 1.5 kms from Mumbai Central Railway Station on Western Railway, Byculla on Central Railway as well as Dockyard Road Station and Sandhurst Road Station on the Harbour Line of Central Railway. ',pos
'There are some food outlets nearby. Mama Mia, Dominoes, Baskin & Robbins are a few to name. There is a mall nearby which is not a very hot favourite but still visited by few students. Hookah joints nearby are the places where the students which students rather like to prefer. ',pos
'Most of the teachers at Anjuman-I-Islam’s Kalsekar Technical Campus are fresher & junior. However they make up for their inexperience with their efforts & co-operative nature. You wouldn’t need to join any tuitions or classes if you attend lectures regularly. ',pos
'Due to nice infrastructure, helpful faculties & a receptive management, Anjuman-I-Islam’s Kalsekar Technical Campus seems to be a good college in the making. However the real mettle of the college will be tested only when it’ll pass through the litmus test in the form of placements. ',pos
'Although it is still under construction, the campus of AIKTC is big and beautiful. As the college is new, infra is pretty much up to the mark. Classrooms are spacious with good LCD projectors and labs are well equipped. The library contains many books, CDs & research papers. Air-conditioned seminar room is also there. There are 3 Wi-Fi zones on the campus. Hostels are not there currently but they’re in pipeline to be started from next academic year. Once they are finished with the on-going construction, it will have one of the best infrastructures among engineering colleges in Navi Mumbai area. ',pos
'Awesome infrastructure and facilities ',pos
'Anjuman-I-Islam Kalsekar Technical Campus is located just about 1.5km from Khandeshwar Railway Station on Harbour line which translates to 7 to 8 minutes via share-rickshaws. Panvel Railway station is also not far – about 2km from here. Bus stop is also close by. Location is peaceful & serene. Accessibility is also pretty good but travelling might be hectic if you stay in south Bombay or western suburbs. ',pos
'College canteen was started recently. It’s really good. The food is hygienic and affordable. ',pos
'canteen food is of okay type ',pos
'There’s nothing nearby the college to hang out at but campus is big and pleasant so students usually chill here. Once in a while you can go to Kharghar, where there are many restaurants and stuff. ',pos
'The College faculty is good as well as friendly. A good relation between teachers and students is maintained. The visiting faculty is highly experienced and well respected in the field. ',pos
'It comprises of two separate buildings, one being the hostel and other the administration and class rooms. However there are two class rooms in the hostel building as well. The classes are air-conditioned. A small play ground also goes along the main building which is shared by the college and NH high school. The college is however averagely maintained. A new building is under process of construction which should be done in 2 years. ',pos
'Maintaining the 75\% attendance would always be a good thing for students. Although it has not been that big an issue yet. However students generally attend lectures when they are in good company! ',pos
'This college is situated in Mira Road(E) at a 5 minutes walk from Mira Road station. Has NH High School, Rassaz mall and Singapore plaza as the nearby landmarks. Easily approachable by BEST buses as well. However people coming from proper Mumbai via private four wheelers would have to pay the toll tax. ',pos
'The canteen is decently sized. The quality of food is good. The prices are also reasonable. Although one thing different here is that the teachers too have their food in the canteen! So just be a little careful before mimicking a teacher over here! But all are cool about it. ',pos
'Bored with the canteen food here? No worries! You have CCD, Singapore Plaza and Rassaz mall at a walking distance where you can have ample of variety in food. McDonald\'s is also not far off! The recently made Fantasy land also comes nearby which is a boon for architecture students! Rassaz mall also has a theatre if you wish to catch the latest movie! Although one would prefer Cinemax which is a little away. And lot more to talk about! ',pos
'Crowd, in general, is good in all architecture colleges. The same goes with this one. A good relation is maintained between seniors and juniors which is not the case with all the colleges. People from around Mumbai as well as a handful of NRIs are a part of this college. ',pos
'The college does not have a fest of it\'s own as such but can be done on student demand! Religious festivals like Dandiya, Christmas, etc. are celebrated in college! ',pos
'A good college with very good teachers and decent infrastructure. Being new it\'s still growing and shows promise to be a very good and well-known college soon! ',pos
'There is a mixture of experienced and new faculties which keep changing often. If you can comprehend what they are trying to say then they are very helpful. Computers and IT students are pretty satisfied with their department. Exrc and EXTC are not of the same opinion but are not completely against the respective dept. Having said that, students find their professors very friendly and doubts are always welcome with a smile. Lectures are conducted in English but some casual teachers prefer to teach in Hindi and Marathi, too. ',pos
'Canteen food is good. ',pos
'If you are a foodie then try Uncle\'s Kitchen - 10 mins away. There is this Ashish restaurant nearby where many Atharva students are found.If going to the mall still impresses you, you may try the Raghuleela mall (some food joints and some gaming zones in the mall) - 10 mins and Infiniti 2 - which is like one stop destination for all youngsters. Beach and party lovers can spend some rocking time with their friends and loved ones on Marve and Aksa beaches. Movie lovers can catch up with latest movie at Movietime, Infinti, InOrbit and Raghuleela. And for those who want to get their hairs down after the sunset, there are some classy restobars like Galaxy, Poptates - Jugheads, Slice of Lime, Kareems, Northern Tadka, etc. ',pos
'Also, as far as hangouts are concerned, now there\'s Infinity-2 too. ',pos
'Not something to brag about but yes you can live with them. Boys to girls ratio is pretty healthy. Students take part in the college festival and other extra curricular activities. You might meet a lot of spendthrift crowd in ACE. Being a second rung of college, you will not meet a lot of toppers here. Students from the northern and western suburbs are in heavy numbers. ',pos
'Atharva has all sorts of events and festival going on throughout the year. Techethon (odd semesters) and Rhythm (even semesters) are the main festivals. Rock shows are popular at fests. Other events include Ganpati celebrations, IEEE 360 fest and e-week (entrepreneurship) and sports festival. ',pos
'Atharva College of Engineering has good placements with companies like CMC Ltd, Capgemini, L&T, Infosys, Wipro, Accenture, etc. In the last couple of years, almost 60 to 70\% of the students gets placements. Many students opt for higher studies. Average salary is hovers around Rs. 2,50,000 per year. ',pos
'I think Atharva is the first college to have the Indian Army coming for placements. ',pos
'One of the best colleges in the world ! I\'d leave the IITs to come to this heaven of knowledge ',pos
'Decent placements and fun filled college life makes Atharva College of Engineering a good option for those staying nearby. ',pos
'Infrastructure at Atharva College of Engineering is appreciated by the students. Campus is excellent and there is greenery all around. The classrooms are spacious and has excellent ventilation with constant flow of air. They are air-conditioned on top 2 floors which is the management students section. College has two libraries - first and the second year share one library and the third and the fourth year share another. There is a 464-seater Extra facilities are available like spa, swimming pool (only after 5pm, but having a pool in your college, isn’t that cool enough?) and 24 hrs of WiFi internet connectivity throughout the institute. The institute also has excellent sports facilities such as cricket ground, basketball court and volleyball court in the campus. ',pos
'Atharva College of Engineering is lenient in terms of attendance. Students having attendance below 60\% are put into defaulters list and are made to write assignments. No strict action is known to be taken. Attendance is compensated if the student is participating in any event for the college. ',pos
'No attendance problem is probably the best thing about this college. ',pos
'It takes about 15 to 20 minutes by rickhaw from Kandivali or Malad railway stations (W. Rly.) to reach Atharva College of Engineering. Some prefer to travel by BEST buses as 9 out of 10 buses from Malad drop you right outside the college. BEST buses run with a good frequency on the Link Road and next to the college. Not a very impressive location but good enough to survive for 4 years. ',pos
'Oh, it\'s really good. There are numerous canteens run by the hotel management institute of the same trust. It is spacious and serves delicious food at affordable prices. The Chinese is a must have. They also serves non-vegetarian food on selected days of the week. ',pos
'Some of the teachers are very good while few of them have a year or so of industrial experience. Visiting faculties conduct lectures over the weekends though most of the students prefer their college teachers. There is nothing to boast about the faculty as such but on a whole one can rate it just about average. ',pos
'Definitely, Atharva MBA is not one of the ideal institutes for an above average scorer. Having said that, the placements record and the campus life still makes it a decent choice for any average student. ',pos
'This is really ridiculous. I am an ex student of AIMS and I must say much of what has been shared here is bunkum. AIMS may not be like IIM Ahmedabad but it surely does not deserve the criticism levelled here. How much of us can really get through CAT. ',pos
'The faculty is drawn from the best. Do you know there are people with over 2 decades of experience in companies like Hutch, Citibank, HSBC and IOC. The dean is exDirector HR of pre merger Air India. Check your facts please. ',pos
'The classrooms of Atharva MBA are air-conditioned with comfortable seats where you can easily sit for 3-4 hours at a stretch. The campus is Wi-fi enabled, which can be freely accessed by everyone. Library is well equipped with all possible books of Marketing, Finance and HR available. The college has a superb auditorium which is shared with other faculties like engineering and hotel management. ',pos
'The campus is fantastic and world class though its a bit strict in terms of dress code. ',pos
'Atharva college is located off Marve road, Malad west and takes round about 10-15 minutes from Malad station by BEST bus or auto. A few buses are available from station and a few more are available if you walk up to S.V. road. Since, there is a good parking space within the campus, you see a lot of students commuting by their private vehicles. ',pos
'Though there are separate buildings for engineering, hotel management and MBA, the campus on a whole is pretty lively. You see a lot of students almost all the time loitering around. Most of the MBA crowd is from the commerce background while the remaining are from BMS and engineering. ',pos
'Rhythm is the annual cultural and sports festival of Atharva college. Out of the 7 days of the festival, 2 days are celebrated by the MBA students. ',pos
'Placements aren’t that great as compared to the excellent B-schools in the country. Nevertheless some of the recruiters are Oreva, Reliance, Tata AIG and Canon. Average salary is around 4.5 lakhs per annum and the highest pay offered to one of the students was a whopping 12 lakhs per annum. ',pos
'The placements in AIMS is quite good and my juniors got placed even during the recession. ',pos
'About 70\% of the teachers are experienced at Bharati Vidyapeeth College of Engineering (BVCoE). But most of them are said to have some problems when communicating in English. However, the students seem to be quite satisfied with the quality of teaching and a few who opt for coaching classes feel stupid now. Faculties are friendly and doubts are welcome. ',pos
'There are many joints favored by the students near Bharati Vidyapeeth College of Engineering like Café 9, Baghdadi, and Virgin Street Café. There are these two malls namely Little World & Blowmax for those who want to roam around. Also, there are two beautiful natural waterfalls 15 minutes walk from the college, which spring up during monsoons. ',pos
'The hangout places are nearby are increasing like Central Park,etc. ',pos
'The crowd is above average and mostly comprises students from Navi Mumbai. Few students do travel all the way from Western Suburbs also. The EXTC department is the most active. Students of other departments are enthusiastic but they sometimes loose out due to lack of support from their departments. Boys to girls ratio is about 65:35. ',pos
'Abhiyan is the annual cultural festival of Bharati Vidyapeeth College of Engineering (BVCoE) and technical festival is held around mid-March. There is a separate sports fest as well. Students from nearby colleges are seen participating in these fests. ',pos
'Bharati Vidyapeeth College of Engineering (BVCoE) is pretty much fun overall; it is a good choice for any average scorer. ',pos
'Bharati Vidyapeeth College of Engineering has great infrastructure. They have put in lots of efforts in beautifying the campus and it clearly shows. The building is huge with almost one floor being dedicated to each department. The classrooms and labs are well maintained. Equipment in labs are up to the mark. There is a vast campus where students play football, basketball, cricket etc. Sports kits are also provided. One minor glitch is of irregular electricity supply but it isn\'t much of an issue. And you need to beware of the CCTV cameras which are actually used to monitor students. ',pos
'had lots of improvements in infrastructure ',pos
'Bharati Vidyapeeth College of Engineering, popularly known as (BVCE) is only 8 min away from Kharghar railway station on harbour line by foot. It is right beside the Sion-Panvel highway and is easily accessible by BEST & NMMT buses as well. Travelling is not a problem for students staying on the Harbour Line. ',pos
'Firstly,its not at all a bad walk from station to college ',pos
'BVCoE has a fantastic canteen. It is clean, hygienic and food served here is delicious and pocket friendly. The canteen is also really spacious. All varieties of vegetarian food are available here. It is so good that students don’t prefer going out of the campus and eating. ',pos
'Academic wise its great. But the fun factor is a little less. But overall a good option to join. ',pos
'The college classrooms are spacious, well ventilated and illuminated. However, the benches are old, some of them have uneven surfaces and it becomes a real task to sit on them for long periods. There are 16 laboratories, each dedicated to a particular specialization in pharmaceutical sciences. The laboratories are equipped with modern equipments adequate apparatus and chemicals and reagents.The college also has a sports ground, table-tennis and carrom facilities. ',pos
'The food is good. There are no complaints with that, but there are certain issues with the sitting arrangement and the surrounding needs to be improved. It is a happening place though ',pos
'No hangouts as such, but one can go to Khargar or Vashi and visit malls and chill. Although these places are a bit far. ',pos
'It’s mixed. Students come from all places. From town, Navi Mumbai and also from other places that are out of the town. ',pos
'There\'s a ground behind the college which the students call the \"yard\", and is definitely the most popular and perhaps the only hangout near the college. Other than that students have to go to Matunga or Dadar in hunt for better places. ',pos
'The faculty is pretty cool and friendly. The termwork out of 25 in the computer dept is pretty much based on your attendance(5m for 75\% and above) 10 m - Journal (Based on your rapport with the professor) and the rest 10 on your prelim performance. If you do well you can easily score 23 off 25. ',pos
'the canteen is changed now..a much better and larger one..so i guess its time to change the details ;) ',pos
'the crowd is getting better and a lot of other changes. ',pos
'The festivals mentioned were quite decent this year,especially the tech fest was very good. ',pos
'the Fests do lack the frills, but are decent enough ',pos
'There are some reputed companies which recruit students from our college. Overall it is a nice college. Get in and experience it. ',pos
' Placements 100\%? Nowadays, even IITs don\'t have 100\% placements. ',pos
'Very nice college. Location is also good. Canteen needs some improvement ASAP. Teaching staffs are cooperative and overall very good college. ',pos
'the teachers are extremely co-operative ',pos
'the new building has been constructed and it is probably one of the best infra in Mumbai engineering colleges. ',pos
'the new building is excellent its campus is bigger in terms of floors rather than acres... it is the tallest engineering college in Mumbai ',pos
'Maintain attendance...!!! Complete your journals time to time...!! Regular study....!!! If you maintain all above... then and only then you are in the best college. ',pos
'They say you’ll be safe if you maintain around a 60\%, which isn’t too bad. Even if you find yourself well below that mark, no ‘strict action’ as such is reportedly taken at Datta Meghe College of Engineering (DMCE). Probably a couple of assignments or test papers to be written. Fair enough. ',pos
'Datta Meghe College of Engineering (DMCE) is located quite conveniently close to Airoli railway station on the trans-harbour route. The campus is just about 5-6 minutes away from the railway station and its not a very bad walk either. ',pos
'This college is the next best college for CIVIL after the autonomous institutes ',pos
'The canteen has changed completely..much wider and better..nothing to complain. ',pos
' Its one of the best at DJ Sanghvi, at least in the first year; you will realize it if you attend. The other years have good professors for one or two out of six or seven subjects while the others are average. You might meet a couple of nagging professors but the rapport with the students is pretty good. Students find the teachers friendly and helpful. ',pos
'Papillon Restaurant (You will find most of the college here), Amar, NM Canteen, the very famous street side vada pavs, dosas and everything you want, Cooper canteen (if you have the guts!). And you are under a Gujju Mandal so food is not a problem at all. And Juhu beach is like the be-saharon ka sahara. Other eat-outs include Pizza Hut, Crepe station, Garcia’s, Subway, Khaasiyat, McDonald’s, ShivSagar, Naturals (The ice-cream of Juhu scheme). And if you still feel the list is still incomplete then most DJites are seen hogging mouthwatering delicious food items at its sister institute, Mukesh Patel\'s canteen. ',pos
'You will actually find the cream crowd of engineering at DJ Sanghvi with an exciting blend of fashion, money and brains! Life at DJ is pretty cool. You meet all sorts of people and always end up with folks you like. Lots of Gujjus around because of the 50\% Gujurati quota, but that\'s quite a good thing, actually. Students are ambitious, competitive and participate over enthusiastically in the festivals which mind you, is not extraordinary. The crowd hails from Northern - Western Mumbai to South Mumbai and some from the Central and Harbour belt as well. ',pos
'DJ Sanghvi College of Engineering has a phenomenal placement record, you won\'t be jobless for sure! Big names come to pick you up after graduation. NO worries about that! TCS & Accenture pick the maximum number of students with L&T and Patni Computers following at hand. Placements MAY sometimes be a matter of concern for Biomed and Chemical students though, because a few of them sometimes don\'t clear the minimum criteria for ANY company. That isn\'t the college\'s fault, though.Other major companies visiting the campus: JP Morgan, AMDOCS, Godrej, Microsoft, Capgemini, Ernst and Young, Morgan Stanley. Average salary is around 5 LPA and highest went to 33 LPA for 2013 batch. ',pos
'All we can say is that in DJ Sanghvi the next 4 years of engineering will definitely be the best days of your life. Don\'t miss it! Definitely should be one of the top 5 on the priority list of the student. ',pos
'Faculty is average... but few are exceptionally great... ',pos
'Amazing infrastructure compared to many colleges in Mumbai. Crowd is awesome too. ',pos
'Attendance is moderately strict in DJ Sanghvi College of Engineering. 75\% is recommended and students are given assignments and university papers to solve if the requirement is not met with. ',pos
'Dwarkadas J Sanghvi College of Engineering (DJSCoE) fondly known as DJ Sanghvi or just \"DJ\" is in J.V.P.D scheme, opposite the very famous Cooper Hospital along with the cluster of several reputed SVKM institutes. It takes about 10 minutes by rickshaw from Vile Parle railway station (W. Rly. & Harbour Rly.) ',pos
'Canteen is ok... not great. ',pos
'Faculty at Don Bosco Institute of Technology (DBIT) is average with mechanical being the best since most of the professors are good. Other departments have one or two excellent professors and one or two are said to be really horrible ones. ',pos
'There have been new malls which have come up in the vicinity which houses many franchisee outlets with the likes of KFC, MOD and McDonalds here, so enough places to hangout here. These malls have come as a big relief to students who earlier had no option but go to Ghatkopar or Chembur. ',pos
'Hangouts are good enough. and with the new Phoenix mall being there, you can bunk and enjoy. ',pos
'Accenture, Infosys, L&T InfoTech and Hexaware. About 70\% of the students generally fall under the \"eligiblity criteria\" which is usually a requirement of 60\% marks or higher. Most of the eligible candidates are placed.Average salaries offered would be around Rs. 3 lac p.a. ',pos
'The classrooms are roomy and well ventilated. There is ample natural light pouring in courtesy of the large windows. The labs are modern and well equipped. Elements of contemporary design can be seen everywhere. There is a chapel on the ground floor.There is a huge football ground, basketball court and it is concretised. There are provisions for indoor games like carrom and table tennis at Don Bosco Institute of Technology (DBIT). The campus has lush greenery throughout the year. Even the insides of the buildings are spruced up by placing potted plants. Recent changes have been to the landscape, by addition of a lawn at the upper echelons which double up as a playground and reception venue. ',pos
'The college was established just about 5 years earlier and is hence yet to gain popularity but it is one of the top 5 colleges for bachelor of pharmacy and its gradually gaining more recognition. If you go for this college you wont regret it, for BNCP rocks!!! ',pos
'SVKM rocks, though I\'m doing Engineering from VESIT but was a ex-student of Mithibai!! At that time my chem pracs used to be coanducted just opposite the pharmacy lab, students and the faculty over there were quite impressive but the foul smell of gases made me choose Engineering..;-p. A thumbs up for the candithates enrolling here ',pos
'Great infrastructure, the SVKM group never disappoints on this front. The college is entirely air-conditioned, though the entire campus has been under construction atleast since 5 years. Yet they have managed to make a pretty decent and good college with good classrooms and labs.All the laboratories and the classrooms have been furnished completely and constructed just a couple of years back, so its got well equipped labs and pretty decent classrooms. Lavish boys and girls common room with sofas and beds provide you with complete luxury. Campus is one of the major problems because this college is located in the campus of Mithibai college itself ',pos
'There is no particular canteen dedicated to the college but the NM canteen in the adjoining building serves delicious and really cheap food. ',pos
'A large and huge list of hangouts that you will find around the college, after all it is one of the best areas in Mumbai, Juhu! The dosa and the sandwich wallas occupy the entire street around the college. Don\'t forget to try the mayonnaise grilled sandwich, its awesome. Subway, on public demand there are now 2 subways, one near the station and one near Juhu beach. Pizza Hut, Dominos for pizzas, Crepe station for pastas and Hungama, Mocha for hookahs. ',pos
'There is a week-long intra-college festival ending with the annual day of the college. There\'s also Rx, which is the inter-college festival for all Maharashtra pharmacy colleges. Rx is probably the only single period during the year when you can actually have a lot of fun. Other events include the Interclass sports events, various college days like traditional day, formal day and beach day. ',pos
'The most important and interesting subject - \"Design\" has the finest faculty and terrific guest lectures, but other than that most of the teachers stay indifferent. Loads of junior professors with little or no experience teach the first years but the trend doesn\'t continue into the later years where well qualified and experienced teachers take over. ',pos
'Spyro, Rangoli, Dosa Plaza, CCD (which isn\'t easily discoverable) and a mini - Dominos outlet are popular amongst students here. And Vashi ofcourse is the ultimate saviour. ',pos
'Srujan is a popular festival celebrated at DY Patil College of Architecture somewhere around mid-Jan. Another fest which the students look forward to is \"Rhapsody\" - a cultural event. Apart from these various workshops and events are organized all round the year. ',pos
'DY Patil College of Architecture undoubtedly has the potential to do far better than how its currently doing, but that doesn\'t mean that it isn\'t a good college. Perhaps stands only second in preference to Bharati Vidyapeeth amongst architecture colleges in Navi Mumbai. ',pos
'Teachers put in appreciable efforts and students are equally thankful. Some couldn’t even find words to praise their teachers. A few others weren’t as grateful – “Teaching is mediocre. Not intolerable but not great either” exclaims a student.Visiting faculty, an important parameter for a law college, is spectacular. Notable figures who’ve given their inputs include Ujwal Nikam and Anup Mehta.Even apart from the prescribed course content, the faculty is very encouraging and students are taken to Jails and Court visits to gain some practical experience of what is being taught. ',pos
'DY Patil Law College is undoubtedly the best choice amongst law colleges in Navi Mumbai. Even while considering law colleges from Mumbai, it would hold a place amongst the top 5. ',pos
'The entire campus (which includes the massive DY Patil stadium) is too big to talk about; so let’s get straight to the infrastructure of the Law College. Most of the requirements of the students, from spacious moot courts to a well stocked library, are satisfactorily met with by the college. One noticeable thing missing is ‘Internet’ which, however, students don’t really seem to care about. Classrooms are tidy and have an appropriate environment for academics. ',pos
'“Not a reason to worry” quickly comments a student of the college. Over 75\% attendance is recommended as per the university rules but DY Patil Law College relaxes that figure to around 50\%. Final year students are given further relief as many have to catch up with external internships as well. ',pos
'DY Patil Law College shares it’s canteen with Ramrao Adik Institute of Technology (RAIT), or rather it’s the other way round. The canteen has been newly renovated so it has a superb ambience. It’s huge and serves excellent food at reasonable rates. ',pos
'Navi Mumbaikars happen to form the major chunk of the crowd at DY Patil Law College, the rest being from different parts of the island city and the Western Suburbs. A few also come from outside the Mumbai metropolitan region as the DY Patil campus also provides fine hostel facilities, although common to all colleges in the campus. “Students here are academically oriented and are always eager to learn more about their subject” says a student. “But that doesn’t mean there’s no fun. We enjoy when it’s the right time to” she continues. ',pos
'‘Velawcity’ is the intercollege festival of DY Patil College of Law celebrated sometime in February. And although it doesn’t get too many entries from other colleges, the participation of students from this college is fantastic. ',pos
'DY Patil Law College provides its support to those who wish to get jobs by getting them in touch with some of the law firms. “After we’ve been introduced to a particular firm, the rest is up to us” says a student. Salaries range between Rs. 15k to 40k for freshers. Majority of the law graduates, however, opt for higher studies. ',pos
